//Quest ID,Time Limit,Target1,Val1,Target2,Val2,Target3,Val3,MobID1,NameID1,Rate1,MobID2,NameID2,Rate2,MobID3,NameID3,Rate3,Quest Title
60443,0,1193,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alarm Hunting"
60444,82800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hunting Timer 1"
60445,0,1106,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Desert Wolf Hunting"
60446,0,1865,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ragged Zombie Hunting"
60447,0,1638,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cecil Damon Hunting"
60449,82800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hunting Timer 3"
60450,82800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hunting Timer 4"
60451,0,1410,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Enchanted Peach Tree Hunting"
60452,0,1417,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zipper Bear Hunting"
60453,0,1370,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Succubus Hunting"
60454,0,1374,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Incubus Hunting"
60455,0,2083,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Uni-horn Scaraba Hunting"
60456,0,2084,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Horn Scaraba Hunting"
60459,0,1778,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gazeti Hunting"
60460,0,1777,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ice Titan Hunting"
60461,0,1752,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Skogul Hunting"
60462,0,1753,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Frus Hunting"
60463,0,2085,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Antler Scaraba Hunting"
60464,0,2086,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Rake Horn Scaraba Hunting"
60465,0,1402,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poisonous Toad Hunting"
60466,0,1403,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Firelock Soldier Hunting"
60467,0,1504,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dullahan Hunting"
60468,0,1505,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Loli Ruri Hunting"
60469,0,1713,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Acidus (Gold) Hunting"
60470,0,1716,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Acidus (Blue) Hunting"
60476,0,1614,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mineral Hunting"
60477,0,1615,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Obsidian Hunting"
60478,0,1714,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ferus (Red) Hunting"
60479,0,1717,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ferus (Green) Hunting"
60480,0,1657,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Laurell Weinder Hunting"
60481,0,1654,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Armeyer Dinze Hunting"
60482,0,1652,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Egnigem Cenia Hunting"
60483,0,1655,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Errende Ebecee Hunting"
60484,0,1656,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kavach Icarus Hunting"
60485,0,1653,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wickebine Tres Hunting"
60486,82800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hunting Timer 5"
60487,82800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hunting Timer 6"
60488,0,1316,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Solider Hunting"
60489,0,1314,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Permeter Hunting"
60490,0,1736,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aliot Hunting"
60491,0,1737,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aliza Hunting"
60492,0,1987,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Centipede Hunting"
60493,0,2024,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bradium Golem Hunting"
60495,82800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hunting Timer 2"
60501,0,1163,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Raydric Hunting"
60502,0,1208,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wanderer Hunting"
60503,0,1780,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Muscipular Hunting"
60504,0,1781,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Drosera Hunting"
60505,0,2019,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ancient Tree Hunting"
60506,0,2021,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Phylla Hunting"
60507,0,1622,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Teddy Bear Hunting"
60508,0,1617,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Waste Stove Hunting"
60509,0,1670,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dimik (Green) Hunting"
60510,0,1671,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dimik (Blue) Hunting"
60511,0,1672,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dimik (Orange) Hunting"
60512,0,1673,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dimik (Red) Hunting"
60513,0,1838,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Knocker Hunting"
60514,0,1837,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Imp Hunting"
60515,0,1627,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Anopheles Hunting"
60516,0,1782,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Roween Hunting"
60517,0,1769,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Agav Hunting"
60518,0,1770,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Echio Hunting"
60519,0,1638,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cecil Damon Hunting"
60520,0,1635,400,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eremes Guile Hunting"
